Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,ANA,AL,1,SEA,AL,1,1,4,51,SEA03,45909,100000000,00202000x,29,4,0,0,1,1,0,0,1,2,0,12,0,0,2,0,4,3,4,4,1,0,24,9,0,0,1,0,32,10,3,1,1,4,0,0,0,1,0,3,0,0,1,0,5,5,1,1,0,0,27,10,0,0,2,0,hernf002,weavj003,rodnf001,weavj003,hernf002,,1,Apr 6,1,LAA,"W,4-1",9,4,1,1,0,2,12,1,1,1,32,129,84,4,0,0,0,29,0,0,0,0,0,0,2,5,Larry Vanover,"F.Hernandez (99-78-W), D.Farquhar (99-H), C.Furbush (99-H), C.Smith (99-H), F.Rodney (99-Sv)"
20150407,ANA,AL,2,SEA,AL,2,2,0,54,SEA03,26545,200000,0,32,5,2,0,1,2,0,0,0,1,0,8,0,0,1,0,4,2,0,0,0,0,27,14,0,0,0,0,29,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,4,2,2,1,0,27,12,1,0,1,0,wilsc004,paxtj001,streh001,wilsc004,paxtj001,,2,Apr 7,1,LAA,"L,0-2",9,5,2,2,0,1,8,1,0,1.5,33,123,74,1,0,0,0,32,2,0,0,0,0,1,1,4,Ron Kulpa,"J.Paxton (99-60-L), T.Wilhelmsen (99), Y.Medina (99), T.Olson (99)"
20150408,ANA,AL,3,SEA,AL,3,5,3,54,SEA03,25495,410000000,1002000,34,10,2,0,1,4,1,1,1,2,1,7,0,1,0,0,7,5,3,3,0,0,27,5,0,0,0,0,35,9,2,0,2,3,0,0,1,1,1,9,0,1,0,0,7,4,4,4,0,0,27,9,1,0,0,0,shoem001,iwakh001,streh001,shoem001,iwakh001,,3,Apr 8,1,LAA,"L,3-5",9,10,5,4,1,2,7,1,1,2.33,39,142,94,2,0,0,1,34,2,0,1,1,1,1,0,4,Brian Knight,"H.Iwakuma (99-39-L), T.Olson (0), C.Smith (1), D.Farquhar (1)"
20150410,SEA,AL,4,OAK,AL,5,0,12,51,OAK01,30114,0,32060001x,29,3,0,0,0,0,0,0,0,2,0,7,0,0,1,0,4,4,12,12,1,0,24,11,1,0,0,0,40,16,5,0,1,12,0,0,0,4,2,6,0,0,0,0,8,3,0,0,0,0,27,8,0,0,1,0,pomed001,walkt004,,walkt004,pomed001,,4,Apr 10,@,OAK,"L,0-12",8,16,12,12,0,4,6,1,0,4.89,44,164,100,3,3,0,0,40,5,0,2,0,0,0,0,4,Brian Gorman,"T.Walker (99-7-L), T.Wilhelmsen (2), C.Furbush (3), Y.Medina (2)"
20150411,SEA,AL,5,OAK,AL,6,5,4,66,OAK01,24355,100003001,22000,42,10,1,0,2,5,1,0,0,3,0,7,1,0,1,0,8,5,4,4,1,0,33,15,0,0,0,0,42,12,3,0,0,4,2,0,0,3,2,6,0,0,0,0,10,6,3,2,0,0,33,15,1,0,1,0,olsot002,abadf001,rodnf001,happj001,grays001,,5,Apr 11,@,OAK,"W,5-4",11,12,4,4,0,3,6,0,0,4.5,47,162,101,3,1,0,0,42,3,0,2,2,0,0,0,5,Mark Carlson,"J.Happ (99-52), D.Farquhar (2), C.Smith (2-BSv), T.Olson (2-W), F.Rodney (4-Sv)"
20150412,SEA,AL,6,OAK,AL,7,8,7,60,OAK01,32282,43001,3000040,37,7,1,0,2,6,0,1,0,3,0,6,0,0,1,0,3,5,7,7,1,0,30,17,1,0,3,0,41,14,4,1,0,5,0,0,0,4,0,5,0,0,2,0,8,5,5,5,0,0,30,10,2,1,1,0,rodnf001,clipt001,mediy001,hernf002,hahnj001,,6,Apr 12,@,OAK,"W,8-7",10,14,7,7,0,4,5,0,0,4.82,45,156,101,1,0,0,0,41,4,1,0,0,0,0,2,5,Mike DiMuro,"F.Hernandez (5-38), D.Farquhar (0-H), C.Furbush (1), F.Rodney (0-W), Y.Medina (1-Sv)"
20150413,SEA,AL,7,LAN,NL,7,5,6,59,LOS03,42202,2002100000,3200001,35,6,0,0,4,5,0,0,0,1,0,15,0,0,0,0,1,5,6,6,0,0,29,11,0,0,0,0,37,9,3,0,1,6,0,1,0,4,1,7,0,0,0,0,7,5,5,5,0,0,30,7,0,0,0,0,garcy001,leond003,,paxtj001,mccab001,,7,Apr 13,@,LAD,"L,5-6",9.2,9,6,6,0,4,7,1,0,4.93,42,155,94,4,1,0,0,37,3,0,1,0,1,0,0,5,Jim Joyce,"J.Paxton (5-45), C.Smith (1), C.Furbush (0), D.Leone (99-L), T.Olson (1)"
20150414,SEA,AL,8,LAN,NL,8,5,6,52,LOS03,43115,300110000,1201002,36,10,1,0,2,5,1,0,1,4,0,12,0,0,0,0,10,5,6,6,0,0,25,11,1,0,1,0,36,12,2,0,2,6,0,0,0,4,0,6,0,1,1,0,9,5,5,5,0,0,27,12,0,1,0,0,garcy001,rodnf001,,iwakh001,huffd001,,8,Apr 14,@,LAD,"L,5-6",8.1,12,6,6,0,4,6,2,0,5.11,40,152,99,2,0,0,1,36,2,0,0,0,0,1,1,5,Greg Gibson,"H.Iwakuma (5-41), C.Smith (0-H), C.Furbush (0), Y.Medina (1-H), F.Rodney (1-BL)"
20150415,SEA,AL,9,LAN,NL,9,2,5,51,LOS03,51287,101000,31100000x,34,9,1,0,1,2,0,0,0,2,0,7,0,1,0,0,7,3,5,5,0,0,24,8,1,0,1,0,31,9,2,0,0,5,0,0,1,7,2,7,0,1,1,0,10,5,2,2,0,0,27,10,0,0,0,0,andeb004,walkt004,,walkt004,andeb004,,9,Apr 15,@,LAD,"L,2-5",8,9,5,5,0,7,7,0,1,5.16,39,133,78,0,0,0,1,31,2,0,2,0,0,0,1,3,Marvin Hudson,"T.Walker (4-29-L), T.Olson (1), D.Farquhar (2)"
20150417,TEX,AL,11,SEA,AL,10,3,1,54,SEA03,36606,100010001,10,32,7,3,0,1,3,0,0,0,4,0,4,0,2,0,0,6,4,1,1,0,0,27,14,0,0,3,0,31,8,1,0,0,1,0,1,0,2,0,5,0,0,3,0,6,4,2,2,2,0,27,11,1,0,0,0,gally001,happj001,felin001,gally001,happj001,,10,Apr 17,1,TEX,"L,1-3",9,7,3,2,1,4,4,1,0,4.85,36,139,86,3,0,0,2,32,3,0,0,0,0,0,0,4,Jim Wolf,"J.Happ (5-60-L), Y.Medina (2), C.Furbush (2), D.Leone (3)"
20150418,TEX,AL,12,SEA,AL,11,1,3,51,SEA03,43017,10000,00011100x,28,2,1,0,0,1,1,0,2,2,0,15,1,0,0,0,5,3,3,3,0,0,24,6,0,0,0,0,31,11,2,1,1,3,0,1,1,3,0,7,2,1,0,0,9,3,1,1,0,0,27,6,0,0,0,0,hernf002,lewic001,rodnf001,lewic001,hernf002,,11,Apr 18,1,TEX,"W,3-1",9,2,1,1,0,2,15,0,2,4.5,33,141,90,0,0,1,0,28,1,0,0,1,0,0,0,3,Adam Hamari,"F.Hernandez (5-79-W), D.Farquhar (2-H), F.Rodney (3-Sv)"
20150419,TEX,AL,13,SEA,AL,12,10,11,53,SEA03,31601,7003000,203000132,42,14,3,0,1,10,0,0,1,4,1,6,0,0,0,0,10,6,11,11,0,0,26,7,0,1,1,0,42,17,1,0,3,11,0,0,0,7,1,7,0,0,1,0,12,5,10,10,0,0,27,6,1,0,0,0,mediy001,felin001,,detwr001,paxtj001,,12,Apr 19,1,TEX,"W,11-10",9,14,10,10,0,4,6,1,1,4.95,47,166,101,3,2,0,0,42,3,0,1,0,0,1,0,5,Bill Miller,"J.Paxton (5-11), T.Olson (3), C.Smith (4), D.Leone (1), Y.Medina (1-W)"
20150420,HOU,AL,13,SEA,AL,13,7,5,54,SEA03,15129,101012020,11030000,34,9,3,0,3,6,1,1,0,1,0,9,1,0,1,0,3,5,5,5,1,0,27,6,1,0,0,0,36,10,5,0,0,5,0,1,0,5,0,10,1,0,0,0,10,5,6,6,1,0,27,10,1,0,1,0,sippt001,farqd001,gregl001,wojca001,iwakh001,,13,Apr 20,1,HOU,"L,5-7",9,9,7,6,1,1,9,3,0,5.03,37,136,92,2,1,1,0,34,3,0,0,1,1,1,1,5,Dale Scott,"H.Iwakuma (5-45), Y.Medina (0-BSv), C.Furbush (2), D.Farquhar (1-L), C.Smith (0)"
20150421,HOU,AL,14,SEA,AL,14,6,3,54,SEA03,13949,1000050,101100000,35,9,2,0,0,6,0,1,1,6,0,13,1,0,1,0,10,3,3,3,2,0,27,10,0,0,1,0,32,7,1,0,0,3,0,0,0,2,0,8,0,0,1,0,4,6,5,5,0,0,27,5,1,0,1,0,mchuc001,furbc001,qualc001,mchuc001,walkt004,,14,Apr 21,1,HOU,"L,3-6",9,9,6,5,1,6,13,0,1,5.03,43,169,105,4,2,1,0,35,2,0,0,0,1,1,1,6,CB Bucknor,"T.Walker (5-60), D.Leone (1-H), C.Smith (0-H), C.Furbush (0-L), D.Farquhar (0-BSv), F.Rodney (2)"
20150422,HOU,AL,15,SEA,AL,15,2,3,51,SEA03,14756,10100,10110000x,36,10,2,0,1,2,0,0,0,3,0,7,1,0,1,0,10,3,3,3,0,0,24,10,0,0,1,0,30,7,0,0,1,3,0,0,0,1,0,4,1,0,0,0,4,3,2,2,0,0,27,12,0,0,1,0,happj001,carmf001,rodnf001,carmf001,happj001,,15,Apr 22,1,HOU,"W,3-2",9,10,2,2,0,3,7,1,0,4.83,39,132,85,0,0,1,0,36,2,0,0,0,0,0,1,3,Lance Barrett,"J.Happ (4-59-W), Y.Medina (1-H), F.Rodney (0-Sv)"
20150424,MIN,AL,16,SEA,AL,16,0,2,51,SEA03,25215,0,01001000x,32,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,1,2,2,0,0,24,4,1,0,1,0,30,6,1,0,2,2,0,0,0,0,0,9,1,0,1,0,4,1,0,0,0,0,27,10,1,0,0,0,hernf002,hughp001,,hughp001,hernf002,,16,Apr 24,1,MIN,"W,2-0",9,5,0,0,0,0,9,0,0,4.53,32,102,73,1,1,0,0,32,0,0,0,0,0,0,0,1,Scott Barry,F.Hernandez (5-86-W)
20150425,MIN,AL,17,SEA,AL,17,8,5,54,SEA03,33566,100122200,200001200,39,10,3,0,1,8,0,0,0,7,0,10,1,1,0,0,11,7,5,5,0,0,27,8,0,0,0,0,34,8,4,0,1,5,0,1,0,2,0,7,0,0,0,0,5,5,5,5,2,0,27,9,3,0,0,0,staut001,paxtj001,perkg001,may-t001,paxtj001,,17,Apr 25,1,MIN,"L,5-8",9,10,8,5,3,7,10,1,0,4.56,46,192,112,6,1,1,1,39,3,0,0,0,0,3,0,5,Ted Barrett,"J.Paxton (5-48-L), D.Leone (3), T.Olson (5), Y.Medina (2), L.Luetge (99)"
20150426,MIN,AL,18,SEA,AL,18,4,2,66,SEA03,35242,10100000002,20000000,40,9,2,1,0,4,1,0,1,7,3,9,0,1,0,0,12,4,2,2,1,0,33,16,1,0,1,0,37,6,3,0,1,2,2,0,0,4,1,7,1,0,1,0,8,6,4,4,0,0,33,12,0,0,1,0,fienc001,olsot002,perkg001,gibsk002,eliar001,,18,Apr 26,1,MIN,"L,2-4",11,9,4,4,0,7,9,0,1,4.47,49,205,125,1,0,0,1,40,2,1,3,1,0,0,0,6,Sean Barber,"R.Elias (99-52), C.Smith (4), C.Furbush (4), D.Farquhar (4), F.Rodney (3), T.Olson (0-L)"
20150427,SEA,AL,19,TEX,AL,19,3,1,54,ARL02,19748,200010000,100000,30,5,0,0,0,2,0,0,0,3,0,6,2,0,1,0,3,4,0,0,0,0,27,9,1,0,1,0,34,8,1,0,0,0,0,0,0,2,0,7,1,0,0,0,8,4,3,3,0,0,27,12,1,0,2,0,walkt004,gally001,rodnf001,walkt004,gally001,,19,Apr 27,@,TEX,"W,3-1",9,8,1,0,1,2,7,0,0,4.24,36,130,85,1,0,1,0,34,1,0,0,0,0,1,0,4,Alan Porter,"T.Walker (5-67-W), C.Furbush (0-H), C.Smith (0-H), F.Rodney (0-Sv)"
20150428,SEA,AL,20,TEX,AL,20,2,1,54,ARL02,23714,200000,100,32,7,1,1,1,2,0,0,0,2,0,6,1,0,2,0,5,6,1,1,0,0,27,6,1,0,0,0,34,7,2,0,0,1,0,0,0,1,0,11,0,0,0,0,7,4,2,2,0,0,27,8,0,0,2,0,happj001,detwr001,rodnf001,happj001,detwr001,,20,Apr 28,@,TEX,"W,2-1",9,7,1,1,0,1,11,0,0,4.08,35,119,81,3,0,0,0,34,2,0,0,0,0,0,0,6,Mark Ripperger,"J.Happ (5-66-W), T.Olson (1-H), D.Leone (2), C.Furbush (0-H), Y.Medina (2-H), F.Rodney (0-Sv)"
20150429,SEA,AL,21,TEX,AL,21,5,2,54,ARL02,26037,20020001,20000000,36,9,2,0,1,3,1,0,0,6,1,5,1,1,1,0,11,3,2,2,0,0,27,17,0,0,1,0,31,5,2,0,0,2,0,0,0,1,0,6,0,0,1,0,3,4,4,4,2,0,27,16,4,0,1,0,hernf002,rodrw002,rodnf001,hernf002,rodrw002,,21,Apr 29,@,TEX,"W,5-2",9,5,2,2,0,1,6,0,0,3.98,32,143,90,0,0,0,0,31,2,0,0,0,0,0,1,3,Jeff Kellogg,"F.Hernandez (4-59-W), D.Farquhar (2-H), F.Rodney (0-Sv)"
20150430,SEA,AL,22,HOU,AL,22,2,3,58,HOU03,19108,2000000000,1000010001,36,11,0,0,0,1,1,0,0,2,0,4,2,1,3,0,7,3,3,3,0,0,28,17,0,0,1,0,34,7,2,0,0,3,0,0,0,3,0,8,1,0,1,0,6,5,2,2,2,0,30,19,0,1,3,0,gregl001,leond003,,paxtj001,felds001,,22,Apr 30,@,HOU,"L,2-3",9.1,7,3,3,0,3,8,0,0,3.93,37,137,82,0,0,1,0,34,2,0,0,0,0,0,1,3,Vic Carapazza,"J.Paxton (4-64), C.Smith (2), D.Leone (1-L)"
20150501,SEA,AL,23,HOU,AL,23,3,4,51,HOU03,21834,1000002,21000001x,33,6,1,1,2,3,0,0,0,2,0,11,1,0,0,0,5,3,4,4,1,0,24,13,0,0,3,0,29,9,0,0,3,4,0,0,0,3,0,8,1,0,3,0,4,6,3,3,0,0,27,12,0,0,0,0,fielj002,eliar001,gregl001,eliar001,dedus001,,23,May 1,@,HOU,"L,3-4",8,9,4,4,0,3,8,3,0,3.96,32,130,81,0,0,1,0,29,0,0,0,0,0,0,3,3,Larry Vanover,"R.Elias (4-53-L), Y.Medina (2), T.Olson (2)"
20150502,SEA,AL,24,HOU,AL,24,4,11,51,HOU03,24435,30001000,02340110x,33,7,0,0,4,4,0,0,0,2,0,7,0,0,1,0,4,4,10,10,0,1,24,12,3,0,1,0,38,14,4,0,5,11,0,0,0,3,1,4,1,0,1,0,6,3,4,4,0,0,27,10,0,0,1,0,mchuc001,walkt004,,walkt004,mchuc001,,24,May 2,@,HOU,"L,4-11",8,14,11,10,1,3,4,5,0,4.22,41,138,92,0,0,1,0,38,4,0,1,0,0,1,1,4,Ron Kulpa,"T.Walker (4-12-L), Y.Medina (0), T.Olson (0), D.Farquhar (2)"
20150503,SEA,AL,25,HOU,AL,25,6,7,51,HOU03,25283,1001400,30210001x,33,10,4,2,0,4,0,0,0,3,0,6,0,1,2,0,3,3,7,7,0,0,24,12,0,0,0,0,30,8,2,0,3,7,0,0,0,4,1,9,0,1,0,0,3,4,4,4,0,0,27,12,2,0,3,0,neshp001,smitc004,gregl001,happj001,carmf001,,25,May 3,@,HOU,"L,6-7",8,8,7,7,0,4,9,3,0,4.35,34,121,75,0,0,0,1,30,2,0,1,0,0,0,0,3,Brian Knight,"J.Happ (4-37), C.Smith (2-L), C.Furbush (4)"
20150504,SEA,AL,26,ANA,AL,26,3,2,54,ANA01,25024,210,101,31,4,0,0,3,3,0,0,1,1,0,11,0,0,0,0,3,3,2,2,1,0,27,14,0,0,2,0,32,8,0,0,2,2,0,0,0,2,0,8,0,1,1,0,5,3,3,3,0,0,27,4,0,0,0,0,hernf002,shoem001,rodnf001,hernf002,shoem001,,26,May 4,@,LAA,"W,3-2",9,8,2,2,0,2,8,2,0,4.26,34,129,82,0,0,0,1,32,0,0,0,0,0,0,1,3,Jim Joyce,"F.Hernandez (4-68-W), C.Smith (0-H), F.Rodney (4-Sv)"
20150505,SEA,AL,27,ANA,AL,27,4,5,51,ANA01,33394,10000030,200000021,35,9,4,0,0,4,0,1,1,2,1,6,0,0,0,0,8,3,5,5,1,0,24,6,0,0,1,0,31,8,0,0,2,5,0,0,0,4,1,4,0,0,1,0,6,4,4,4,3,0,27,6,0,0,0,0,streh001,leond003,,paxtj001,richg002,,27,May 5,@,LAA,"L,4-5",8,8,5,5,0,4,4,2,0,4.31,35,114,64,0,0,0,0,31,0,0,1,0,0,0,1,3,Greg Gibson,"J.Paxton (4-62), D.Farquhar (2-BSv), D.Leone (4-L)"
20150506,SEA,AL,28,ANA,AL,28,3,4,52,ANA01,25160,200001,3000001,34,9,1,0,1,3,0,1,1,1,0,6,1,1,1,0,7,4,4,4,0,0,25,13,0,0,1,0,31,7,2,1,1,4,0,0,0,2,0,5,0,0,1,0,4,3,3,3,0,0,27,11,1,0,1,0,streh001,smitc004,,eliar001,wilsc004,,28,May 6,@,LAA,"L,3-4",8.1,7,4,4,0,2,5,1,0,4.31,33,111,78,0,0,0,0,31,2,1,0,0,0,0,1,4,Marvin Hudson,"R.Elias (4-57), J.Beimel (99), M.Lowe (99), C.Smith (1-L)"
20150508,OAK,AL,31,SEA,AL,29,3,4,63,SEA03,25187,102000000,1000020001,40,6,1,0,1,3,0,0,1,3,1,14,1,0,0,0,8,6,4,4,2,0,30,7,1,0,1,0,39,10,3,0,1,4,0,0,0,3,1,15,0,0,0,0,8,7,3,3,1,0,33,9,2,0,0,0,smitc004,oterd001,,grays001,walkt004,,29,May 8,1,OAK,"W,4-3",11,6,3,3,0,3,14,1,1,4.23,44,180,117,2,0,1,0,40,1,0,1,0,0,1,0,7,Tony Randazzo,"T.Walker (5-49), J.Beimel (1), D.Farquhar (2), C.Furbush (4), M.Lowe (1), F.Rodney (3), C.Smith (1-W)"
20150509,OAK,AL,32,SEA,AL,30,2,7,51,SEA03,37441,10010,21002101x,39,10,0,0,1,2,0,0,0,2,0,13,2,0,0,0,12,5,5,5,2,0,24,9,4,0,0,0,35,10,2,0,0,3,0,0,2,6,1,6,2,0,0,0,12,6,2,2,1,0,27,5,1,0,0,0,happj001,hahnj001,,hahnj001,happj001,,30,May 9,1,OAK,"W,7-2",9,10,2,2,0,2,13,1,0,4.16,41,162,103,2,0,2,0,39,0,0,0,0,0,1,0,6,Phil Cuzzi,"J.Happ (5-61-W), M.Lowe (0), T.Wilhelmsen (28), D.Farquhar (0), C.Furbush (0-H), J.Beimel (0)"
20150510,OAK,AL,33,SEA,AL,31,3,4,51,SEA03,42831,1001001,00031000x,33,6,0,0,3,3,0,0,0,1,0,7,0,0,0,0,4,3,4,4,0,0,24,6,1,0,0,0,29,5,3,0,0,4,0,1,0,4,0,7,0,0,0,0,6,3,3,3,0,0,27,7,0,0,0,0,hernf002,chavj001,rodnf001,chavj001,hernf002,,31,May 10,1,OAK,"W,4-3",9,6,3,3,0,1,7,3,0,4.12,34,129,85,0,0,0,0,33,0,0,0,0,0,0,0,3,Will Little,"F.Hernandez (5-64-W), C.Furbush (0-H), F.Rodney (1-Sv)"
20150512,SDN,NL,34,SEA,AL,32,4,11,51,SEA03,16148,301,40100231x,33,6,1,0,0,4,0,0,0,9,0,8,0,0,1,0,11,3,11,11,0,0,24,8,0,0,0,0,36,15,2,0,6,11,1,0,1,4,0,7,0,1,0,0,7,5,2,2,0,0,27,7,1,0,1,0,paxtj001,kenni001,,kenni001,paxtj001,,32,May 12,1,SDP,"W,11-4",9,6,4,2,2,9,8,0,0,4.05,42,179,104,3,3,0,0,33,1,0,0,0,0,1,1,5,Mark Wegner,"J.Paxton (6-66-W), D.Farquhar (2), T.Wilhelmsen (2), C.Furbush (1), M.Lowe (2)"
20150513,SDN,NL,35,SEA,AL,33,4,2,54,SEA03,14547,2000110,10001,32,8,1,0,1,3,1,1,1,2,1,9,2,0,0,0,6,4,2,2,0,0,27,6,1,1,1,0,36,9,2,0,1,2,0,0,0,3,0,14,1,0,1,0,10,4,3,3,1,0,27,7,1,0,0,0,shiej002,walkt004,kimbc001,shiej002,walkt004,,33,May 13,1,SDP,"L,2-4",9,8,4,3,1,2,9,1,1,4.02,37,136,83,1,1,2,0,32,1,0,1,1,1,0,0,4,Marty Foster,"T.Walker (4-61-L), J.Beimel (3), C.Smith (4), D.Farquhar (0)"
20150514,BOS,AL,35,SEA,AL,34,2,1,54,SEA03,20172,100001,1000,32,10,2,0,1,2,2,1,1,4,0,5,0,1,1,0,11,4,1,1,1,0,27,20,0,0,2,0,32,7,0,0,0,1,0,0,0,3,0,2,0,0,1,0,7,5,2,2,0,0,27,12,1,0,1,0,barnm001,rodnf001,uehak001,kellj001,eliar001,,34,May 14,1,BOS,"L,1-2",9,10,2,2,0,4,5,1,1,3.96,40,145,93,3,0,0,1,32,2,0,0,2,1,1,1,5,Jerry Layne,"R.Elias (7-53), M.Lowe (1), C.Furbush (1), C.Smith (0), F.Rodney (3-L)"
20150515,BOS,AL,36,SEA,AL,35,1,2,53,SEA03,39477,10000000,1001,31,7,0,1,0,1,1,0,0,1,0,4,1,1,1,0,5,3,2,2,0,0,26,7,0,0,0,0,31,5,1,0,1,2,0,0,0,0,0,11,0,0,0,0,3,2,1,1,0,0,27,12,0,0,1,0,wilht001,laynt001,,buchc001,happj001,,35,May 15,1,BOS,"W,2-1",9,7,1,1,0,1,4,0,0,3.88,33,120,81,0,0,1,1,31,0,1,0,1,0,0,1,2,Hunter Wendelstedt,"J.Happ (5-65), T.Wilhelmsen (2-W)"
20150516,BOS,AL,37,SEA,AL,36,4,2,54,SEA03,45055,11002000,100010000,35,8,1,0,2,4,0,0,0,5,0,9,0,0,0,0,9,4,2,2,0,0,27,8,0,0,0,0,32,5,1,0,2,2,0,0,0,2,0,9,0,0,0,0,5,3,4,4,0,0,27,11,0,0,0,0,porcr001,hernf002,uehak001,porcr001,hernf002,,36,May 16,1,BOS,"L,2-4",9,8,4,4,0,5,9,2,0,3.88,40,150,94,0,0,0,0,35,1,0,0,0,0,0,0,3,Bob Davidson,"F.Hernandez (5-43-L), J.Beimel (2), D.Farquhar (2)"
20150517,BOS,AL,38,SEA,AL,37,0,5,51,SEA03,39936,0,02001002x,31,5,1,0,0,0,0,0,0,2,0,3,0,0,1,0,6,4,4,4,0,0,24,8,0,1,0,0,31,8,1,0,2,4,0,0,0,3,0,7,0,1,0,0,5,2,0,0,0,0,27,14,0,0,1,0,paxtj001,wrigs001,,wrigs001,paxtj001,,37,May 17,1,BOS,"W,5-0",9,5,0,0,0,2,3,0,0,3.78,33,120,81,0,0,0,0,31,1,0,0,0,0,0,1,2,Ryan Blakney,"J.Paxton (4-72-W), C.Smith (2)"
20150519,SEA,AL,38,BAL,AL,36,4,9,51,BAL12,19494,103000000,10030311x,33,6,0,0,2,4,0,0,1,3,0,9,0,0,0,0,6,4,7,7,1,0,24,8,1,1,2,0,35,13,2,0,1,7,0,0,0,5,1,6,2,0,2,0,7,3,4,4,0,0,27,3,0,0,0,0,gonzm003,farqd001,,walkt004,gonzm003,,38,May 19,@,BAL,"L,4-9",8,13,9,7,2,5,6,1,0,3.87,40,141,87,3,1,2,0,35,2,0,1,0,0,0,2,4,James Hoye,"T.Walker (5-30), D.Farquhar (2-L), M.Lowe (4), J.Beimel (2)"
20150520,SEA,AL,39,BAL,AL,37,4,2,54,BAL12,21710,10200100,11,38,12,3,1,1,4,0,0,0,1,0,6,0,0,1,0,8,3,2,2,0,0,27,10,0,0,1,0,35,10,1,0,0,2,0,0,0,0,0,6,0,0,1,0,6,4,4,4,0,0,27,8,0,0,1,0,eliar001,chenw001,rodnf001,eliar001,chenw001,,39,May 20,@,BAL,"W,4-2",9,10,2,2,0,0,6,0,0,3.82,35,121,85,2,1,0,0,35,1,0,0,0,0,0,1,3,John Hirschbeck,"R.Elias (5-67-W), C.Smith (2-H), F.Rodney (5-Sv)"
20150521,SEA,AL,40,BAL,AL,38,4,5,51,BAL12,33085,10200100,40000001x,36,10,0,0,0,4,0,1,0,7,1,12,1,1,0,0,13,6,5,5,0,0,24,8,1,0,0,0,31,6,0,0,1,5,0,0,0,5,0,10,1,0,0,0,7,7,4,4,0,0,27,5,1,0,1,0,huntt002,farqd001,britz001,happj001,tillc001,,40,May 21,@,BAL,"L,4-5",8,6,5,5,0,5,10,1,0,3.86,36,157,98,3,0,1,0,31,0,0,0,0,0,1,0,6,John Tumpane,"J.Happ (5-33), T.Wilhelmsen (5), M.Lowe (1), J.Beimel (1), C.Furbush (6), D.Farquhar (1-L)"
20150522,SEA,AL,41,TOR,AL,44,4,3,54,TOR02,21195,301000,100000002,32,6,2,1,1,4,0,0,0,4,0,6,1,1,0,0,5,3,3,3,0,0,27,15,0,0,3,0,31,7,1,0,2,3,0,0,0,3,0,8,1,0,2,0,4,3,4,4,0,0,27,10,0,0,0,0,hernf002,estrm001,rodnf001,hernf002,estrm001,,41,May 22,@,TOR,"W,4-3",9,7,3,3,0,3,8,2,0,3.84,34,128,81,0,0,1,0,31,1,0,0,0,0,0,2,3,Jim Wolf,"F.Hernandez (5-71-W), C.Smith (1-H), F.Rodney (1-Sv)"
20150523,SEA,AL,42,TOR,AL,45,3,2,54,TOR02,33086,12000000,100100000,31,6,2,0,1,3,1,0,1,3,0,6,0,0,1,0,6,4,2,2,1,0,27,11,0,0,1,0,28,4,1,0,1,2,0,1,0,4,0,9,0,0,0,0,4,3,3,3,0,0,27,7,0,0,1,0,paxtj001,buehm001,rodnf001,paxtj001,buehm001,,42,May 23,@,TOR,"W,3-2",9,4,2,2,0,4,9,1,0,3.8,33,141,86,0,0,0,0,28,1,0,0,0,1,0,0,4,Gerry Davis,"J.Paxton (5-57-W), T.Wilhelmsen (1-H), C.Smith (0-H), F.Rodney (0-Sv)"
