Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20160404","CHN","NL",1,"ANA","AL",1,9,0,54,"ANA01",44020,"100202103","000000000",37,11,3,0,1,9,0,0,0,7,1,12,0,0,1,0,8,3,0,0,0,0,27,9,0,0,1,0,29,3,1,0,0,0,0,0,0,1,0,7,0,0,0,0,3,5,9,9,0,0,27,8,1,0,1,0,"arrij001","Jake Arrieta","richg002","Garrett Richards","","(none)","arrij001","Jake Arrieta","richg002","Garrett Richards",
"20160405","CHN","NL",2,"ANA","AL",2,6,1,54,"ANA01",37042,"004000200","000001000",36,9,1,0,3,6,0,0,0,0,0,9,0,0,0,0,3,4,1,1,0,0,27,13,1,0,0,0,32,4,1,0,0,1,0,0,0,0,0,6,0,0,0,0,4,5,6,6,0,0,27,9,0,0,0,0,"lestj001","Jon Lester","heana001","Andrew Heaney","","(none)","lestj001","Jon Lester","heana001","Andrew Heaney",
"20160407","CHN","NL",3,"ARI","NL",4,14,6,54,"PHO01",24656,"022500104","312000000",41,14,3,2,1,11,0,0,1,10,0,5,1,0,0,0,11,4,6,6,0,0,27,8,0,0,1,0,33,8,2,1,2,6,0,1,0,2,0,10,0,0,1,0,3,5,13,13,1,0,27,9,2,0,0,0,"lackj001","John Lackey","delar003","Rubby de la Rosa","","(none)","lackj001","John Lackey","delar003","Rubby de la Rosa",
"20160408","CHN","NL",4,"ARI","NL",5,2,3,53,"PHO01",27539,"002000000","000001011",30,5,2,0,0,2,0,0,1,4,0,6,0,0,1,0,6,5,3,3,0,0,26,12,1,0,1,0,31,8,2,0,0,3,0,0,0,3,0,8,2,0,1,0,5,4,2,2,0,0,27,13,0,0,2,0,"ziegb001","Brad Ziegler","cahit001","Trevor Cahill","","(none)","hammj002","Jason Hammel","ray-r002","Robbie Ray",
"20160409","CHN","NL",5,"ARI","NL",6,4,2,54,"PHO01",32185,"300100000","000100100",35,10,4,0,0,4,0,1,1,5,1,10,0,0,2,0,11,3,2,2,1,0,27,12,0,0,0,0,30,4,1,0,0,1,1,0,0,1,0,7,2,0,0,0,3,4,4,4,0,0,27,10,1,0,2,0,"hendk001","Kyle Hendricks","greiz001","Zack Greinke","rondh001","Hector Rondon","hendk001","Kyle Hendricks","greiz001","Zack Greinke",
"20160410","CHN","NL",6,"ARI","NL",7,7,3,54,"PHO01",33258,"020101210","000210000",37,12,2,0,2,7,0,1,1,5,1,11,1,0,1,0,10,3,3,3,0,0,27,13,0,0,0,0,35,8,2,0,2,3,0,0,0,0,0,9,0,0,0,0,5,4,7,7,1,0,27,4,0,0,1,0,"arrij001","Jake Arrieta","mills001","Shelby Miller","","(none)","arrij001","Jake Arrieta","mills001","Shelby Miller",
"20160411","CIN","NL",7,"CHN","NL",7,3,5,51,"CHI11",40882,"101100000","00000023x",33,7,1,0,1,3,0,0,0,2,0,9,1,0,1,0,5,4,5,5,2,0,24,10,1,1,0,0,27,3,0,0,1,5,1,0,1,7,0,5,0,0,0,0,7,4,3,3,0,0,27,14,0,0,1,0,"warra001","Adam Warren","cingt001","Tony Cingrani","rondh001","Hector Rondon","finnb001","Brandon Finnegan","lestj001","Jon Lester",
"20160413","CIN","NL",8,"CHN","NL",8,2,9,51,"CHI11",36496,"100000100","50220000x",30,7,1,1,0,2,0,1,0,4,0,7,1,0,3,0,6,6,9,9,2,0,24,4,0,0,0,0,31,8,1,0,1,8,0,1,1,10,0,9,2,0,0,0,10,4,2,2,0,0,27,10,0,0,3,0,"lackj001","John Lackey","simoa001","Alfredo Simon","","(none)","simoa001","Alfredo Simon","lackj001","John Lackey",
"20160414","CIN","NL",9,"CHN","NL",9,1,8,51,"CHI11",34898,"000000001","01002005x",32,6,3,0,0,1,0,0,0,4,0,6,0,0,0,0,8,5,7,7,0,0,24,9,2,0,1,0,33,11,1,0,1,7,0,1,0,5,0,4,0,1,0,0,7,4,1,1,0,0,27,10,0,0,0,0,"hammj002","Jason Hammel","igler001","Raisel Iglesias","","(none)","igler001","Raisel Iglesias","hammj002","Jason Hammel",
"20160415","COL","NL",10,"CHN","NL",10,6,1,54,"CHI11",34437,"010002120","000000100",38,11,0,0,0,3,0,0,0,3,2,8,3,0,2,0,8,4,1,1,0,0,27,10,1,0,0,0,30,4,0,0,0,1,0,0,0,4,0,7,0,1,0,0,6,4,3,3,1,0,27,14,4,1,2,0,"bettc001","Chad Bettis","hendk001","Kyle Hendricks","","(none)","bettc001","Chad Bettis","hendk001","Kyle Hendricks",
